timestamp,host,cpu,asp,pool,totalJobs,activeJobs
1781517686019,IOHANA,27.700000762939453,66.69259643554688,0.0,63922,843
1781517699315,ILUAU,1.2000000476837158,93.34100341796875,0.0,5954,267
1781517710842,IONO,0.30000001192092896,84.09760284423828,0.0,20475,248
1781517721143,IOHANA,28.700000762939453,66.69259643554688,0.0,63932,842
1781517731151,ILUAU,1.0,93.33920288085938,0.0,5953,266
1781517740759,IONO,0.4000000059604645,84.097900390625,0.0,20476,249
1781517751018,IOHANA,28.5,66.69239807128906,0.0,63934,842
1781517761049,ILUAU,1.100000023841858,93.3406982421875,0.0,5954,267
1781517770695,IONO,0.30000001192092896,84.09770202636719,0.0,20475,248
1781517780418,IOHANA,30.200000762939453,66.69219970703125,0.0,63944,841
1781517790130,ILUAU,1.0,93.33899688720703,0.0,5953,266
1781517800375,IONO,0.30000001192092896,84.09860229492188,0.0,20477,250
1781517810373,IOHANA,28.200000762939453,66.69819641113281,0.0,63946,841
1781517819996,ILUAU,1.5,93.34100341796875,0.0,5954,267
1781517829523,IONO,0.10000000149011612,84.09829711914062,0.0,20476,249
1781517839083,IOHANA,30.899999618530273,66.70809936523438,0.0,63956,840
1781517848756,ILUAU,1.0,93.33920288085938,0.0,5953,266
1781517858620,IONO,0.10000000149011612,84.09880065917969,0.0,20477,250
1781517868288,IOHANA,30.899999618530273,66.70809936523438,0.0,63958,840
1781517877916,ILUAU,1.2999999523162842,93.34100341796875,0.0,5954,267
1781517887482,IONO,0.30000001192092896,84.09850311279297,0.0,20476,249
1781517897184,IOHANA,27.0,66.70790100097656,0.0,63968,839
1781517907295,ILUAU,0.8999999761581421,93.33920288085938,0.0,5953,266
1781517917062,IONO,0.20000000298023224,84.09880065917969,0.0,20477,250
1781517926775,IOHANA,28.899999618530273,66.70850372314453,0.0,63976,841
1781517936579,ILUAU,1.0,93.3385009765625,0.0,5953,266
1781517946153,IONO,0.30000001192092896,84.09729766845703,0.0,20476,249
1781517955837,IOHANA,1.2000000476837158,66.69819641113281,0.0,63986,839
1781517965463,ILUAU,1.100000023841858,93.3427963256836,0.0,5954,267
1781517975182,IONO,0.10000000149011612,84.09760284423828,0.0,20477,250
1781517984881,IOHANA,0.8999999761581421,66.69750213623047,0.0,63988,839
1781517994610,ILUAU,1.0,93.34709930419922,0.0,5955,268
1781518004382,IONO,0.10000000149011612,84.09729766845703,0.0,20476,249
1781518014136,IOHANA,1.0,66.69709777832031,0.0,63998,838
1781518024111,ILUAU,1.0,93.34529876708984,0.0,5954,267
1781518033775,IONO,0.30000001192092896,84.09770202636719,0.0,20477,250
1781518043529,IOHANA,1.0,66.69779968261719,0.0,64002,840
1781518053321,ILUAU,1.0,93.34709930419922,0.0,5955,268
1781518063218,IONO,0.30000001192092896,84.09750366210938,0.0,20476,249
1781518073059,IOHANA,0.8999999761581421,66.69750213623047,0.0,64012,839
1781518083236,ILUAU,1.2999999523162842,93.34500122070312,0.0,5954,267
1781518093148,IONO,0.4000000059604645,84.0978012084961,0.0,20477,250
1781518103821,IOHANA,1.100000023841858,66.69760131835938,0.0,64014,839
1781518113788,ILUAU,1.2000000476837158,93.3468017578125,0.0,5955,268
1781518123481,IONO,0.20000000298023224,84.09750366210938,0.0,20476,249
1781518133372,IOHANA,1.2000000476837158,66.69709777832031,0.0,64024,838
1781518143544,ILUAU,1.899999976158142,93.34529876708984,0.0,5954,267
1781518153380,IONO,0.20000000298023224,84.09709930419922,0.0,20476,249
1781518163295,IOHANA,1.0,66.69860076904297,0.0,64028,840
1781518173541,ILUAU,1.2999999523162842,93.32969665527344,0.0,5950,263
1781518183149,IONO,0.10000000149011612,84.0968017578125,0.0,20475,248
1781518192845,IOHANA,1.100000023841858,66.69830322265625,0.0,64038,839
1781518205488,ILUAU,1.2000000476837158,93.3280029296875,0.0,5949,262
1781518215979,IONO,0.10000000149011612,84.09700012207031,0.0,20476,249
1781518225869,IOHANA,1.0,66.69830322265625,0.0,64044,839
1781518235605,ILUAU,1.2000000476837158,93.32460021972656,0.0,5949,262
1781518245459,IONO,0.20000000298023224,84.0968017578125,0.0,20475,248
1781518255405,IOHANA,1.2000000476837158,66.697998046875,0.0,64054,838
1781518265417,ILUAU,1.0,93.32270050048828,0.0,5948,261
1781518275118,IONO,0.30000001192092896,84.09709930419922,0.0,20476,249
1781518286890,IOHANA,1.0,66.69889831542969,0.0,64058,840
1781518296743,ILUAU,1.0,93.32450103759766,0.0,5949,262
